-0.09597708235545571+0.26308677258867724*I,0.12087793899777723-0.3313435464762125*I
-0.0959183472679514+0.262222101566875*I,0.12095630325033346-0.33067100236265445*I
-0.09585925614848244+0.26136132560397085*I,0.12103441585710431-0.3300016779090753*I
-0.09579981166623966+0.26050440985579265*I,0.12111227923813206-0.3293355412757877*I
-0.09574001645721594+0.25965131995866486*I,0.12118989578368976-0.3286725610701145*I
-0.09567987312474434+0.25880202202056357*I,0.12126726785477442-0.32801270633801094*I
-0.09561938424002465+0.25795648261247434*I,0.12134439778358964-0.32735594655588046*I
-0.09555855234264014+0.25711466875994804*I,0.12142128787401908-0.3267022516225801*I
-0.09549737994106222+0.2562765479348505*I,0.12149794040208858-0.32605159185161126*I
-0.09543586951314699+0.2554420880472991*I,0.1215743576164211-0.32540393796348854*I
-0.09537402350661972+0.254611257437782*I,0.12165054173868003-0.32475926107828396*I
-0.09531184433955107+0.25378402486945506*I,0.12172649496400514-0.3241175327083402*I
-0.09524933440082313+0.2529603595206115*I,0.12180221946143904-0.32347872475114936*I
-0.09518649605058614+0.25214023097732*I,0.12187771737434483-0.32284280948239197*I
-0.09512333162070684+0.25132360922622526*I,0.12195299082081634-0.3222097595491319*I
-0.09505984341520685+0.25051046464750887*I,0.12202804189407865-0.32157954796316346*I
-0.09499603371069364+0.24970076800800553*I,0.12210287266288222-0.3209521480945077*I
-0.09493190475678207+0.24889449045446882*I,0.12217748517188792-0.3203275336650504*I
-0.0948674587765085+0.24809160350698492*I,0.12225188144204552-0.3197056787423218*I
-0.09480269796673642+0.24729207905252915*I,0.12232606347096395-0.31908655773341255*I
-0.09473762449855441+0.24649588933866223*I,0.12240003323327488-0.31847014537902285*I
-0.09467224051766616+0.24570300696736197*I,0.12247379268098849-0.31785641674764054*I
-0.09460654814477373+0.24491340488898672*I,0.12254734374384349-0.3172453472298448*I
-0.09454054947595246+0.24412705639636914*I,0.12262068832964895-0.31663691253273446*I
-0.09447424658301992+0.24334393511903377*I,0.12269382832462106-0.3160310886744736*I
-0.09440764151389688+0.2425640150175383*I,0.12276676559371202-0.31542785197895556*I
-0.09434073629296194+0.24178727037793354*I,0.12283950198093355-0.3148271790705799*I
-0.09427353292139971+0.2410136758063395*I,0.1229120393096742-0.3142290468691395*I
-0.09420603337754213+0.24024320622363524*I,0.12298437938301035-0.3136334325848167*I
-0.09413823961720325+0.23947583686025814*I,0.1230565239840111-0.3130403137132827*I
-0.09407015357400844+0.23871154325111288*I,0.12312847487603822-0.31244966803090257*I
-0.09400177715971712+0.23795030123058336*I,0.12320023380303993-0.31186147359003685*I
-0.09393311226453953+0.23719208692764787*I,0.12327180248983932-0.3112757087144422*I
-0.09386416075744779+0.23643687676109465*I,0.12334318264241738-0.31069235199476763*I
-0.09379492448648126+0.2356846474348347*I,0.12341437594819082-0.3101113822841428*I
-0.09372540527904645+0.23493537593330835*I,0.12348538407628497-0.30953277869385526*I
-0.0936556049422113+0.23418903951698694*I,0.12355620867780132-0.30895652058911893*I
-0.09358552526299439+0.23344561571796307*I,0.12362685138608047-0.308382587584926*I
-0.09351516800864859+0.2327050823356301*I,0.12369731381695996-0.30781095954198373*I
-0.09344453492694013+0.23196741743244784*I,0.12376759756902797-0.3072416165627338*I
-0.09337362774642237+0.23123259932979165*I,0.12383770422387191-0.3066745389874497*I
