0.06355177958998792,0.30262750744625166
0.06743344917714499,0.30651566414540155
0.07138561840735182,0.3103722404505626
0.07540854492772282,0.31420225744041763
0.07950258898809369,0.318010343231961
0.08366820943279728,0.3218007931338051
0.08790596063321181,0.3255776199164281
0.09221649023582976,0.32934459622279916
0.09660053762825736,0.33310529068001526
0.1010589330472577,0.3368630989287556
0.1055925972702995,0.3406212705293121
0.11020254184607552,0.34438293250701923
0.11488986983104663,0.3481511101501075
0.11965577700880628,0.35192874555740816
0.12450155357720986,0.3557187143429219
0.12942858629607606,0.35952384083566
0.13443836109401794,0.3633469120555372
0.1395324661398258,0.3671906907050496
0.14471259538915351,0.37105792738095944
0.14998055262283244,0.37495137218329666
0.15533825599994228,0.3788737858809864
0.160787743151171,0.3828279507687893
0.16633117684915752,0.38681668135114117
0.17197085129407577,0.3908428349673805
0.17770919906233404,0.39490932247386845
0.18354879877296407,0.3990191190929845
0.18949238353476353,0.4031752755383208
0.19554285024662973,0.40738092952670923
0.20170326983405565,0.4116393177911479
0.2079768985167648,0.41595378871445376
0.2143671902161205,0.4203278157114555
0.2208778102266339,0.4247650114980457
0.2275126502941074,0.429269143398898
0.2342758452636238,0.43384414986144865
0.24117179148544862,0.4384941583645582
0.24820516719498245,0.4432235049334774
0.2553809551168535,0.4480367555026068
0.26270446758061605,0.45293872939867014
0.27018137448732765,0.4579345252677667
0.27781773451331465,0.46302954980503186
0.2856200300099979,0.4682295497175448
0.2935952061391501,0.4735406474253928
0.30175071486258176,0.47896938106807596
0.3100945645452899,0.4845227495313474
0.3186353760463347,0.49020826329884915
0.3273824463551618,0.4960340021133662
0.33634582103539007,0.5020086806198556
0.3455363769962747,0.5081417234042022
0.3549659174319238,0.5144433511412903
0.36464728116837564,0.5209246799416126
0.3745944691621037,0.5275978364593314
0.3848227915319294,0.5344760919266228
0.3953490393219431,0.541574019049593
0.40619168624468327,0.5489076766967655
0.4173711270187736,0.5564948286051004
0.42890996070505905,0.5643552040282986
0.4408333298309919,0.5725108105271217
0.4531693292672361,0.5809863121248371
0.465949503127875,0.5898094901642785
0.4792094539293845,0.599011809924083
0.4929895964662491,0.6086291239258739
0.5073361005667126,0.6187025541215695
0.5223020836889009,0.6292796113206081
0.5379491389383512,0.6404156339692795
0.5543493209053895,0.6521756639807444
0.5715877680504999,0.6646369318652681
0.5897662287861032,0.6778922092036563
0.6090079012518774,0.6920544253765148
0.6294642353992116,0.7072631778950333
0.6513247597117776,0.7236941694164842
0.6748317451991431,0.741573338223527
0.7003029520070901,0.7611988526033713
0.7281686172736614,0.7829769994020338
0.7590352380809847,0.8074842872405764
0.7938041644703367,0.8355833222257931
0.8339154140305145,0.868661880566558
0.881925390594343,0.9092014242292049
0.9432121611433102,0.9624613791007106
1.0335394489503207,1.0439792308187155
